iter	Passed	Remaining
933	1481	104
934	1483	103
935	1485	101
936	1486	99
937	1488	98
938	1489	96
939	1490	95
940	1492	93
941	1493	91
942	1494	90
943	1496	88
944	1497	87
945	1499	85
946	1500	83
947	1502	82
948	1503	80
949	1505	79
950	1506	77
951	1508	76
952	1509	74
953	1510	72
954	1512	71
955	1515	69
956	1517	68
957	1518	66
958	1520	64
959	1521	63
960	1522	61
961	1524	60
962	1525	58
963	1527	57
964	1529	55
965	1531	53
966	1533	52
967	1534	50
968	1535	49
969	1537	47
970	1538	45
971	1539	44
972	1541	42
973	1542	41
974	1544	39
975	1545	38
976	1547	36
977	1548	34
978	1549	33
979	1550	31
980	1552	30
981	1553	28
982	1554	26
983	1556	25
984	1557	23
985	1558	22
986	1560	20
987	1562	18
988	1563	17
989	1565	15
990	1566	14
991	1567	12
992	1569	11
993	1570	9
994	1571	7
995	1573	6
996	1575	4
997	1576	3
998	1578	1
999	1579	0
